track_id,input_artist,input_title,play_count,batch_id,model,identified,confidence,artists,title,mix_name,remixers,featured_artists,record_label,catalog_number,release_title,release_type,release_year,formats,primary_genre,subgenres,bpm_estimate,musical_key,energy,mood_tags,dj_set_role,instrumentation,similar_artists,description,artist_details,parsing_notes
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,1,direct,gpt-4.1-mini,False,low,Jorge Savoretti,You Taste Better Than Danger,,,,,,,unknown,,,house,,,,,,,,,,"[{""name"": ""Jorge Savoretti"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","Artist field was '(unknown)', real artist and title extracted from title field by splitting at ' - '."
33bc67720e1e,(unknown),Guido Schneider - poker flat 47 - B1 - Moved (Refreshed),1,batch_6ab2e1ec9da08190b6220c0500f1448e,gpt-4.1-mini,True,high,Guido Schneider,Moved,Refreshed,,,Poker Flat,Poker Flat 47,,single,,vinyl,tech house,deep tech,124,,medium,groovy; deep,peak-time,deep bassline; percussive elements,Loco Dice; Sven Väth; Ricardo Villalobos; Tale Of Us; Maceo Plex,"Moved (Refreshed) is a tech house track by Guido Schneider released on Poker Flat as part of catalog number 47. It features a deep tech style with groovy and deep mood elements, suitable for peak-time DJ sets.","[{""name"": ""Guido Schneider"", ""real_name"": null, ""aliases"": [], ""country"": ""Germany"", ""city"": ""Berlin"", ""active_since"": 1990, ""associated_labels"": [""Poker Flat"", ""Playhouse""], ""associated_acts"": [], ""short_bio"": ""Guido Schneider is a German DJ and producer known for his deep tech and tech house productions, primarily releasing on Poker Flat and Playhouse.""}]","The artist field was '(unknown)', the title contained 'Guido Schneider - poker flat 47 - B1 - Moved (Refreshed)'. Parsed artist as 'Guido Schneider', label as 'Poker Flat', catalog number as 'Poker Flat 47', side 'B1' removed, track title 'Moved' and mix name 'Refreshed' extracted."
3c525f3649e7,(unknown),Guido schneider - Re-moved,1,batch_6ab2e1ec9da08190b6220c0500f1448e,gpt-4.1-mini,False,low,Guido Schneider,Re-moved,,,,,,,unknown,,,tech house,,,,,,,,,,"[{""name"": ""Guido Schneider"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","Artist field was '(unknown)', real artist and title extracted from title field 'Guido schneider - Re-moved' by splitting at hyphen and trimming."
3da31439a42c,(unknown),LOCODICE - Orchidee,1,direct,gpt-4.1-mini,False,low,Locodice,Orchidee,,,,,,,unknown,,,tech house,,,,,,,,,,"[{""name"": ""Locodice"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","Artist field was '(unknown)', real artist and title extracted from title field 'LOCODICE - Orchidee' by splitting at hyphen and trimming."
47e120ee7115,(unknown),click box - sugar pain,1,batch_6ab2e1ec9da08190b6220c0500f1448e,gpt-4.1-mini,False,low,Click Box,Sugar Pain,,,,,,,unknown,,,tech house,,124,,medium,groovy,any,synth stabs; percussion,Green Velvet; Claude VonStroke; Hot Since 82; Solomun; Dennis Ferrer,,"[{""name"": ""Click Box"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","Artist was unknown, but the title field contained 'click box - sugar pain'. Parsed artist as 'Click Box' and title as 'Sugar Pain'."
5293310a1b3b,(unknown),Heartthrob - Hot Sugar Candy Apple Taffy (Minus),1,batch_6ab2e1ec9da08190b6220c0500f1448e,gpt-4.1-mini,False,low,Heartthrob,Hot Sugar Candy Apple Taffy,,,,Minus,,,unknown,,,techno,,,,,,,,,,"[{""name"": ""Heartthrob"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [""Minus""], ""associated_acts"": [], ""short_bio"": null}]",Artist was unknown; extracted 'Heartthrob' as artist and 'Hot Sugar Candy Apple Taffy' as title from the title field. 'Minus' interpreted as record label.
76493aa894d2,(unknown),"Hermanez, massimo girardi - 22.22 (kaiserdisco mix)",1,batch_6ab2e1ec9da08190b6220c0500f1448e,gpt-4.1-mini,False,low,Hermanez; Massimo Girardi,22.22,Kaiserdisco Mix,Kaiserdisco,,,,,unknown,,,tech house,,,,,,,,,,"[{""name"": ""Hermanez"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}, {""name"": ""Massimo Girardi"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","The artist field was '(unknown)', so the title was split by the first dash to extract artists 'Hermanez' and 'Massimo Girardi' and the track title '22.22'. The mix name 'Kaiserdisco Mix' was identified from the parenthetical remix credit."
7e497c6ba3e1,(unknown),Luciano - Bomberos,1,direct,gpt-4.1-mini,True,high,Luciano,Bomberos,,,,,,,unknown,,,tech house,,124,,medium,groovy,peak-time,percussion; synth stabs,Ricardo Villalobos; Lucien Foort; Sven Väth; Magda; Tale Of Us,"""Bomberos"" is a tech house track by Luciano, known for its groovy percussion and synth stabs, fitting well into peak-time DJ sets.","[{""name"": ""Luciano"", ""real_name"": ""Luciano Nieves"", ""aliases"": [], ""country"": ""Chile"", ""city"": ""Zurich"", ""active_since"": 1990, ""associated_labels"": [""Cadenza"", ""Cocoon""], ""associated_acts"": [""Ricardo Villalobos""], ""short_bio"": ""Luciano is a Chilean-Swiss DJ and producer known for his influential work in tech house and minimal techno since the 1990s.""}]","Artist field was '(unknown)', but the title contained 'Luciano - Bomberos'. Parsed artist as 'Luciano' and title as 'Bomberos'."
aca552bfbf43,(unknown),KENICHIRO KUBOTA - 4Am,1,direct,gpt-4.1-mini,False,low,Kenichiro Kubota,4Am,,,,,,,unknown,,,tech house,,,,,,,,,,"[{""name"": ""Kenichiro Kubota"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","Artist was '(unknown)', real artist and title extracted from title field 'KENICHIRO KUBOTA - 4Am' by splitting at ' - '."
b0d66f7d96f2,(unknown),AFV001B-ILARIO_ALICANTE-I_LIKE_TO_SERVE-320,1,batch_6ab2e1ec9da08190b6220c0500f1448e,gpt-4.1-mini,False,low,Ilario Alicante,I Like To Serve,,,,,AFV001B,,unknown,,digital,tech house,,,,,,,,,,"[{""name"": ""Ilario Alicante"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","The artist field was '(unknown)', so the title field was parsed. The catalog number 'AFV001B' was extracted as prefix. Underscores were replaced by spaces. The artist and title were separated by the first dash after the catalog number: 'ILARIO ALICANTE' as artist and 'I LIKE TO SERVE' as title. The '-320' suffix was identified as bitrate and removed."
