track_id,input_artist,input_title,play_count,batch_id,model,identified,confidence,artists,title,mix_name,remixers,featured_artists,record_label,catalog_number,release_title,release_type,release_year,formats,primary_genre,subgenres,bpm_estimate,musical_key,energy,mood_tags,dj_set_role,groove,percussion,bassline,vocals,melodic_elements,texture,emotional_character,dancefloor_effect,review_blurb,description_basis,similar_artists,description,parsing_notes
00567efb79ca,Magda,Panna Cotta Eyes,1,batch_6ab34a49ecf88190925429f6293e8e97,gpt-5,False,low,Magda,Panna Cotta Eyes,,,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,Track not known: no reliable information available.,"Tags looked clean; kept artist as 'Magda' and title as 'Panna Cotta Eyes'. No mix name, remixers, catalog number, or label information present."
00851c399221,Heartthrob,Baby Kate (Sascha Funke Remix),1,batch_6ab34a49ecf88190925429f6293e8e97,gpt-5,True,high,Heartthrob,Baby Kate,Sascha Funke Remix,Sascha Funke,,Minus,,Baby Kate,unknown,,,minimal techno,microhouse; Berlin minimal,,,medium,hypnotic; driving; moody; sleek,after-hours,"sleek, slithering and heads-down with a rolling pulse",skipping hi-hats; tight clap; clicks and pops; subtle percussive ticks,"rubbery, writhing low-end that snakes beneath the groove",,"nagging lead riff; eerie, glassy synth tones; delicate atmospheric pads",dry; precise; sleek,"cool, hypnotic and slightly shadowy",locks the room into a linear trance and keeps the floor simmering without big drops,"Sascha Funke reshapes Heartthrob’s classic into a sleek late-night burner. A writhing bassline and crisp, minimal drums frame a nagging synth motif that tightens its grip with each pass. It’s a hypnotic tool that deepens the energy without ever shouting for attention.",known track,Magda; Troy Pierce; Marc Houle; Ricardo Villalobos; Sascha Funke,"Heartthrob’s Baby Kate is a Minus staple, and Sascha Funke’s remix takes a more melodic, linear route while staying ruthlessly minimal. Built around a supple bass and a nagging lead, it’s designed for long blends and hypnotic momentum.",Title field contained remix info in parentheses; extracted mix name and remixer. Artist name was already clean.
016172a65756,Koolwah,Fashion Feat. Andi Fraggs (Luca Bacchetti Remix),1,batch_6ab34a49ecf88190925429f6293e8e97,gpt-5,False,low,Koolwah,Fashion,Luca Bacchetti Remix,Luca Bacchetti,Andi Fraggs,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,Track not known: no reliable information available.,Moved 'Feat. Andi Fraggs' from the title into featured_artists; extracted '(Luca Bacchetti Remix)' as mix_name and remixer; cleaned title to 'Fashion'.
01764247b8b6,Magda,48 Hour Crack In Your Bass,1,batch_6ab34a49ecf88190925429f6293e8e97,gpt-5,False,low,Magda,48 Hour Crack In Your Bass,,,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,Track not known: no reliable information available.,Tags appear clean; kept artist and title as provided. No mix name or remixers indicated.
0181a5317a57,Heartthrob,Signs (Original Mix),1,batch_6ab34a49ecf88190925429f6293e8e97,gpt-5,False,low,Heartthrob,Signs,Original Mix,,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,Track not known: no reliable information available.,Parsed mix name '(Original Mix)' from the title; set clean title to 'Signs'. Artist already clean.
0245bd79530f,John Gaiser,Pandrip,1,batch_6ab34a49ecf88190925429f6293e8e97,gpt-5,False,low,Gaiser,Pandrip,,,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,Track not known: no reliable information available.,Corrected artist to canonical stage name 'Gaiser' from 'John Gaiser'; no mix info present.
02897d0a1832,Berg Nixon,The Depths,1,batch_6ab34a49ecf88190925429f6293e8e97,gpt-5,False,low,Berg Nixon,The Depths,,,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,Track not known: no reliable information available.,Artist and title were already clean and canonical; no parsing changes needed.
028d88f10000,(unknown),SIS - Holly Bolly,1,batch_6ab34a49ecf88190925429f6293e8e97,gpt-5,False,low,SIS,Holly Bolly,,,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,Track not known: no reliable information available.,Artist was placeholder '(unknown)'; extracted 'SIS' as artist and 'Holly Bolly' as title from the title field.
032eec9925ea,Guido Schneider,Super Sander,1,batch_6ab34a49ecf88190925429f6293e8e97,gpt-5,False,low,Guido Schneider,Super Sander,,,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,Track not known: no reliable information available.,Tags appeared clean; kept artist and title as given. No mix/version or label/catalog info present.
03514220da44,Dustin Zahn,Analog God (Drumcell & Audio Injection),1,batch_6ab34a49ecf88190925429f6293e8e97,gpt-5,False,low,Dustin Zahn,Analog God,Drumcell & Audio Injection Remix,Drumcell; Audio Injection,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,Track not known: no reliable information available.,Parsed parentheses as remix credit; set mix_name to 'Drumcell & Audio Injection Remix'. No label or catalog number present in tag.
