artist_id,name,track_count,source,model,known,confidence,real_name,aliases,country,city,active_since,associated_labels,associated_acts,styles,notable_releases,short_bio
36e7a7866456,Loco Dice,2,direct,gpt-5,True,high,Yassine Ben Achour,,Germany,Düsseldorf,,Desolat; Cadenza; M_nus; Ovum Recordings,Martin Buttrich,minimal techno; tech house; house,7 Dunham Place; Underground Sound Suicide; Flight LB 7475; Seeing Through Shadows,"Tunisian-German DJ and producer from Düsseldorf, Loco Dice is the co-founder of Desolat alongside Martin Buttrich. Known for sleek minimal techno and tech house, he has released on labels such as Cadenza, M_nus, and his own Desolat, and albums including 7 Dunham Place and Underground Sound Suicide."
55b8d71fe1d5,Guido Schneider,2,direct,gpt-5,True,medium,,,Germany,Berlin,,Poker Flat Recordings,Jens Bond; André Galluzzi; Florian Schirmacher; Glowing Glisses,minimal techno; tech house; house,,"German DJ and producer known for refined minimal/tech house, closely associated with Poker Flat Recordings. Active in the Berlin scene, he has collaborated with Jens Bond and worked as part of Glowing Glisses with vocalist Florian Schirmacher."
5a79725a228b,Hermanez,1,direct,gpt-5,True,medium,,,,,,,,tech house; minimal techno,,DJ and producer known for tech house and minimal techno.
65a1fc6275b6,Jeff Samuel,1,direct,gpt-5,True,medium,,,United States,,,,,minimal techno; tech house,,American minimal techno and tech house producer/DJ active since the 2000s and associated with the mid-2000s minimal scene.
714c325800a9,Luciano,1,direct,gpt-5,True,high,Lucien Nicolet,Lucien-N-Luciano,Chile / Switzerland,,,Cadenza Records; Perlon; Mental Groove; Soma,Quenum; Ricardo Villalobos; Pier Bucci; Dandy Jack,minimal house; tech house; minimal techno,Orange Mistake (with Quenum); Rise of Angel; Tribute to the Sun (album); Fabric 41: Luciano (mix); Sci.Fi.Hi.Fi. Vol. 2 (mix),"Chilean–Swiss DJ and producer, founder of Cadenza Records and a key figure in minimal house and tech house since the early 2000s. Known for Latin-inflected, groove-driven productions and collaborations with peers such as Quenum."
86101c3d3484,Click Box,1,direct,gpt-5,True,medium,,,Brazil,,,Minus; Items & Things,,minimal techno; tech house,,"Brazilian minimal techno duo known for releases on Richie Hawtin’s Minus and later Items & Things, bringing a crisp, percussive take on minimal and tech house."
8c43b48c58c2,Kenichiro Kubota,1,direct,gpt-5,False,low,,,,,,,,,,Artist not known: no reliable information available.
94b8ab6b8110,Konrad Black,1,direct,gpt-5,True,medium,,,Canada,Vancouver,,Wagon Repair,Mathew Jonson,minimal techno; tech house,,"Canadian DJ and producer associated with the Vancouver minimal techno scene and the Wagon Repair label. Known for deep, moody minimal techno and tech house with longstanding ties to Mathew Jonson."
9d1e3c2635ff,Magda,1,direct,gpt-5,True,high,Magdalena Chojnacka,,Poland,Berlin,,M_nus; Items & Things,Marc Houle; Troy Pierce; Richie Hawtin; Run Stop Restore,minimal techno; tech house,Baby Kate; She's A Dancing Machine (mix); Fabric 49: Magda (mix),"Polish-born, Detroit-raised DJ and producer closely associated with Richie Hawtin’s M_nus label, known for stripped-back minimal techno and tech house. She broke through with releases like Baby Kate and the mix CD She’s A Dancing Machine, and later co-founded the Items & Things label with Marc Houle and Troy Pierce."
ab98487dbd51,Josh Wink,1,direct,gpt-5,True,high,Joshua Winkelman,Winx; Size 9,United States,Philadelphia,1990,Ovum Recordings,King Britt; E-Culture; Green Velvet,acid house; acid techno; techno; tech house; house,Higher State of Consciousness; Don't Laugh (as Winx); Are You There?; How's Your Evening So Far? (with Green Velvet); Superfreak (Freak),"Philadelphia DJ/producer and co-founder of Ovum Recordings with King Britt. A pioneer of 1990s acid house/techno, he broke through with 'Higher State of Consciousness' and 'Don't Laugh' (as Winx) and has remained an influential club producer and remixer."
af4a64db16e0,Ilario Alicante,1,direct,gpt-5,True,high,,,Italy,Livorno,2008,Cocoon Recordings; Cécille Records,,techno; tech house; minimal techno,Living Near Africa,"Italian DJ and producer from Livorno, active since the late 2000s. He broke through with the 2008 track ""Living Near Africa"" on Cécille Records and became closely associated with Cocoon Recordings, known for driving techno and tech house."
cc6925165c08,Innersphere,1,direct,gpt-5,True,medium,,Shinedoe,Netherlands,Amsterdam,,100% Pure,,tech house; minimal techno; techno,Phunk,"Innersphere is an alias of Amsterdam-based DJ/producer Shinedoe, best known for the mid-2000s minimal/tech house anthem 'Phunk'."
ce7e467d59b0,Heartthrob,3,direct,gpt-5,True,high,Jesse Siminski,,United States,,,Minus; ISNISNT,Magda; Troy Pierce; Marc Houle,minimal techno; tech house; house,"Baby Kate; Dear Painter, Paint Me","Heartthrob is the alias of American producer Jesse Siminski, a key figure from Richie Hawtin’s Minus roster who later launched his own imprint ISNISNT. Emerging in the mid‑2000s, he is known for sleek minimal techno and tech-house, including the breakout single Baby Kate and the album Dear Painter, Paint Me."
cfd7e273adc3,Marco Carola,2,direct,gpt-5,True,high,Marco Carola,,Italy,Naples,1996,Design Music; Question; Zenit; M_nus; Music On,Gaetano Parisio; Rino Cerrone; Paco Osuna,techno; minimal techno; tech house,"Open System (album, 2001); Play It Loud! (album, 2011); Question (EP series)","Marco Carola is an Italian DJ and producer from Naples, a key figure in the Neapolitan techno movement. He founded labels such as Design Music, Question and Zenit, later releasing the album Play It Loud! on M_nus and launching the Music On brand in Ibiza. Known for driving, minimalist grooves, he bridges techno and tech house in long-form DJ sets."
e39abe6f9b3a,Massimo Girardi,1,direct,gpt-5,False,low,,,,,,,,,,Artist not known: no reliable information available.
e77bdf56bfe8,Gaiser,2,direct,gpt-5,True,medium,Jon Gaiser,,United States,,,Minus,,minimal techno; techno,Neural Block; False Light,"American minimal techno producer Jon Gaiser is a key artist on Richie Hawtin’s Minus label, known for sleek, percussive live sets and streamlined studio work."
ebd73eb430ac,Kaiserdisco,1,direct,gpt-5,True,medium,Frederic Berger & Patrick Buck,,Germany,Hamburg,,KD Music; KD RAW; Drumcode; MBF (My Best Friend),,techno; tech house,Aguja; In No One's Shadow,"Kaiserdisco is a German duo from Hamburg comprising Frederic Berger and Patrick Buck. They are known for groove-led techno and tech house, founding the KD Music and KD RAW labels and releasing on Drumcode as well as MBF. Their early breakthrough included the track Aguja and the album In No One's Shadow."
ee35dd1735ac,Jorge Savoretti,1,direct,gpt-5,True,medium,,,Argentina,Rosario,,Savor Music; Raum...musik,Franco Cinelli; Cape,minimal house; tech house; minimal techno,,"Argentine DJ and producer from Rosario, Jorge Savoretti is a key figure in his country’s minimal/house scene and co-runs the Savor Music label. His groove-led productions and DJ sets span minimal house and tech house, with releases on Savor Music and Germany’s Raum...musik."
