guid	entities	sector	sentiment	news_category	extraction_status
108257101					failed
108257682					failed
108257539					failed
108257738					failed
108257251					failed
108257258					failed
108257620					failed
108256933	Mozilla|OpenAI|Anthropic	Technology	positive	other	ok
108257609					failed
108255643					failed
108256966					failed
108257534	ICE	Policy	neutral	regulation	ok
108257670					failed
108257597					failed
108257718					failed
108257541					failed
108257591					failed
108257206					failed
108256166					failed
108257624	Corning|Meta Platforms|CNBC	Technology	positive	markets	ok
108255180					failed
108257548	UPS|Amazon	Other	negative	markets	ok
108257470	Dario Amodei|Anthropic	Technology	negative	macro	ok
108257438					failed
108256438					failed
108257519	LVMH	Consumer	positive	earnings	ok
108257614	Donald Trump	Policy	negative	regulation	ok
108257391					failed
108257612					failed
108257207					failed
108257401					failed
108256779					failed
108257501					failed
108257398					failed
108257365					failed
108256843					failed
108257326	UnitedHealth	Healthcare	neutral	earnings	ok
108257330					failed
108257345					failed
108257384					failed
108256679					failed
108257382					failed
108256842					failed
108257116					failed
108257353					failed
108257711					failed
108257513					failed
108257142					failed
108256315	American Airlines	Consumer	neutral	earnings	ok
108254354					failed
108255773					failed
108255170					failed
108257264	Hyundai Motor|Trump	Consumer	negative	regulation	ok
108256837	India|European Union|Prime Minister Modi	Policy	positive	macro	ok
108256950					failed
108257315					failed
108257298					failed
