guid	entities	sector	sentiment	news_category	extraction_status
108195036					failed
108194973		Finance	positive	macro	ok
108194915					failed
108194903		Finance	negative	macro	ok
108194938					failed
108194685					failed
108194806		Policy	neutral	macro	ok
108194787					failed
108194859					failed
108194439					failed
108194905					failed
108194962	Nike|New Balance|Coco Gauff|Shohei Ohtani|Cameron Brink	Consumer	positive	products	ok
108195002	Newsmax|Fox News|Aileen Cannon|President Trump	Other	neutral	regulation	ok
108194991					failed
108194404					failed
108194864	FBI|Charles McGonigal|Chinese firm|James Biden	Other	neutral	regulation	ok
108194693	Joseph Stiglitz|CNBC	Finance	negative	macro	ok
108194762					failed
108191934					failed
108194939	Broadcom	Technology	positive	earnings	ok
108194860					failed
108194805					failed
108194839					failed
108194547					failed
108194670					failed
108194778					failed
108194260	Starbucks	Consumer	positive	products	ok
108194639	Apple	Technology	neutral	regulation	ok
108194561		Finance	negative	markets	ok
108187963		Other	positive	macro	ok
108194130					failed
108194213	JPMorgan|Tesla|Musk	Technology	positive	markets	ok
108194678		Other	negative	markets	ok
108194911	UK Prime Minister|Starmer|Rayner	Policy	negative	other	ok
108194071					failed
108193441					failed
108194715					failed
108194690					failed
108194039	Singapore	Finance	positive	markets	ok
108194630	Trump|Washington|Tokyo	Policy	neutral	regulation	ok
108194684	Rocket Lab	Other	positive	products	ok
108194673	OpenAI|Microsoft	Technology	neutral	products	ok
108191084					failed
108194090	Javier Milei	Other	positive	macro	ok
108192835					failed
108194677		Finance	negative	macro	ok
108194631					failed
108194212					failed
108194640	Gojek|Nadiem Makarim	Other	negative	regulation	ok
108194865					failed
108194849	White House|BLS	Policy	negative	macro	ok
108194443					failed
